,Player,Goal,Wall,Pit,Q_Current,Reward_Current,Bellman_Operator
6896,9,4,7,23,8.366466522216797,-1.0,10.0
6897,14,6,0,4,1.9614042043685915,-1.0,3.474627590179444
6898,13,6,0,4,4.305757522583008,-1.0,4.920491886138916
6899,8,6,0,4,6.4677581787109375,-1.0,6.395804691314697
6900,12,6,0,4,7.255305767059326,-1.0,6.902531909942627
6901,7,6,0,4,8.780591011047363,-1.0,10.0
6902,2,19,21,15,2.8292195796966557,-1.0,1.4341445922851563
6903,3,19,21,15,2.9085679054260254,-1.0,2.643848752975464
6904,4,19,21,15,2.6314048767089844,-1.0,3.4269628047943117
6905,9,19,21,15,4.548664569854736,-1.0,4.538339328765869
6906,14,19,21,15,6.15371036529541,-1.0,10.0
6907,23,5,11,8,1.013861894607544,-1.0,-0.4905168652534485
6908,22,5,11,8,1.606931447982788,-1.0,0.9414485454559327
6909,17,5,11,8,3.8922219276428223,-1.0,1.4882245779037477
6910,16,5,11,8,5.035806655883789,-1.0,3.593645143508911
6911,15,5,11,8,6.469145774841309,-1.0,4.985373449325562
6912,10,5,11,8,6.650414943695068,-1.0,10.0
6913,10,20,14,21,5.080894470214844,-1.0,7.089888286590577
6914,15,20,14,21,8.988764762878418,-1.0,10.0
6915,8,0,21,11,4.307717800140381,-1.0,2.4140244245529177
6916,7,0,21,11,4.670154571533203,-1.0,3.727310132980347
6917,6,0,21,11,5.332055568695068,-1.0,5.079216432571411
6918,1,0,21,11,6.754684925079346,-1.0,10.0
6919,6,15,11,0,4.371815204620361,-1.0,3.8355151653289807
6920,5,15,11,0,7.138965606689453,-1.0,6.207965087890625
6921,10,15,11,0,8.00885009765625,-1.0,10.0
6922,19,12,13,14,3.6758952140808105,-1.0,2.591273164749146
6923,18,12,13,14,7.723150253295898,-1.0,4.02437572479248
6924,22,15,19,8,4.738793849945068,-1.0,4.701801729202271
6925,21,15,19,8,6.054217338562012,-1.0,5.66492977142334
6926,11,15,19,8,6.074087142944336,-1.0,5.7186400413513185
6927,16,15,19,8,7.465155601501465,-1.0,10.0
6928,2,14,19,6,1.3815972805023191,-1.0,3.0716572284698485
6929,4,14,19,6,5.658881187438965,-1.0,5.501005601882935
6930,9,14,19,6,7.223339557647705,-1.0,10.0
6931,17,4,18,24,1.026889443397522,-1.0,0.3134217500686647
6932,12,4,18,24,2.7336413860321045,-1.0,2.297421503067017
6933,7,4,18,24,5.048853397369385,-1.0,4.7549395084381105
6934,8,4,18,24,6.3943772315979,-1.0,5.941081857681275
6935,9,19,0,15,3.2204015254974365,-1.0,5.261659002304078
6936,14,19,0,15,6.957398891448975,-1.0,10.0
6937,11,5,13,1,6.423769950866699,-1.0,5.7176474094390874
6938,6,5,13,1,7.464052677154541,-1.0,10.0
6939,0,17,14,10,2.7313342094421387,-1.0,3.7719802856445312
6940,1,17,14,10,5.234311580657959,-1.0,3.2642874717712402
6941,2,17,14,10,4.913207530975342,-1.0,4.236644458770752
6942,7,17,14,10,6.165161609649658,-1.0,6.465975570678711
6943,13,17,14,10,7.8200531005859375,-1.0,6.97527084350586
6944,12,17,14,10,8.861412048339844,-1.0,10.0
6945,7,22,10,14,3.402016878128052,-1.0,3.3199872970581055
6946,12,22,10,14,5.480840682983398,-1.0,5.198902177810669
6947,17,22,10,14,6.887669086456299,-1.0,10.0
6948,10,17,12,8,1.616952896118164,-1.0,3.7517693042755127
6949,11,17,12,8,4.436877250671387,-1.0,5.1455189228057865
6950,15,17,12,8,4.901511669158936,-1.0,4.580068922042847
6951,16,17,12,8,6.200076580047607,-1.0,10.0
6952,10,3,8,17,1.735090970993042,-1.0,2.066702389717102
6953,11,3,8,17,2.7626681327819824,-1.0,2.478637981414795
6954,12,3,8,17,4.688311576843262,-1.0,3.3154292583465574
6955,13,3,8,17,5.507113456726074,-1.0,3.862087059020996
6956,14,3,8,17,5.8006911277771,-1.0,4.178726768493653
6957,9,3,8,17,7.763985633850098,-1.0,5.6785369396209715
6958,4,3,8,17,7.420596599578857,-1.0,10.0
6959,9,7,5,22,7.95190954208374,-1.0,5.3320221424102785
6960,8,7,5,22,7.035580158233643,-1.0,10.0
6961,8,17,4,9,5.672909736633301,-1.0,5.131842231750489
6962,7,17,4,9,4.682862281799316,-1.0,6.260897731781006
6963,12,17,4,9,8.06766414642334,-1.0,10.0
6964,23,16,8,20,4.712112903594971,-1.0,4.30356879234314
6965,22,16,8,20,6.5841450691223145,-1.0,6.336728286743164
6966,17,16,8,20,8.151920318603516,-1.0,10.0
6967,13,11,9,15,6.3707051277160645,-1.0,6.250513076782227
6968,12,11,9,15,8.05612564086914,-1.0,10.0
6969,24,14,3,13,5.861186504364014,-1.0,6.477702617645264
6970,19,14,3,13,8.308558464050293,-1.0,10.0
6971,6,15,2,18,4.3399505615234375,-1.0,5.830162429809571
6972,5,15,2,18,8.437743186950684,-1.0,6.860970115661622
6973,10,15,2,18,8.734411239624023,-1.0,10.0
6974,13,5,11,22,1.53771710395813,-1.0,1.960483050346375
6975,12,5,11,22,4.260147571563721,-1.0,3.17641658782959
6976,7,5,11,22,6.143330097198486,-1.0,4.907024192810058
6977,6,5,11,22,6.563360214233398,-1.0,10.0
6978,19,5,0,3,1.3819432258605957,-1.0,1.2873217582702638
6979,18,5,0,3,2.944175720214844,-1.0,2.8133862495422366
6980,17,5,0,3,4.1457839012146,-1.0,3.998124837875366
6981,12,5,0,3,4.8861260414123535,-1.0,5.511609983444214
6982,11,5,0,3,7.235122203826904,-1.0,7.116083812713624
6983,0,3,24,19,4.296165943145752,-1.0,3.9595233440399173
6984,1,3,24,19,6.18558931350708,-1.0,6.058691787719726
6985,2,3,24,19,7.842990875244141,-1.0,10.0
6986,12,22,3,20,5.468375205993652,-1.0,5.441428375244141
6987,17,22,3,20,7.157142639160156,-1.0,10.0
6988,16,18,24,15,5.803723812103272,-1.0,5.485513162612915
6989,17,18,24,15,7.206125736236572,-1.0,10.0
6990,20,0,3,14,3.781794548034668,-1.0,2.7622491836547853
6991,15,0,3,14,4.687546253204346,-1.0,4.5666093826293945
6992,10,0,3,14,7.209132194519043,-1.0,6.480563354492188
6993,6,0,3,14,5.91745138168335,-1.0,6.808290672302246
6994,5,0,3,14,8.675878524780273,-1.0,10.0
6995,24,11,5,19,2.7485780715942383,-1.0,2.176414179801941
6996,23,11,5,19,4.448619365692139,-1.0,3.717752456665039
6997,22,11,5,19,5.317335605621338,-1.0,5.26061315536499
6998,21,11,5,19,5.597677230834961,-1.0,6.077582693099976
6999,16,11,5,19,7.863980770111084,-1.0,10.0
7000,0,23,24,16,-0.7290356159210205,-1.0,0.19825692176818843
7001,5,23,24,16,0.8808671236038208,-1.0,0.5138100147247315
7002,10,23,24,16,1.7944494485855105,-1.0,1.9385058879852295
