,Player,Goal,Wall,Pit,Q_Current,Reward_Current,Bellman_Operator
82,10,4,2,11,3.946598768234253,-1.0,5.743586301803589
83,6,4,2,11,7.492873668670654,-1.0,7.282580757141114
84,11,13,6,9,2.7422940731048584,-1.0,2.371126890182495
85,15,13,6,9,4.023087501525879,-1.0,4.277415752410889
86,14,13,6,9,5.863795280456543,-1.0,10.0
87,13,15,3,7,5.744489669799805,-1.0,4.367605781555176
88,14,15,3,7,7.812236785888672,-1.0,10.0
89,5,15,8,12,3.4703586101531982,-1.0,3.9150935173034673
90,6,15,8,12,5.257501602172852,-1.0,4.008800029754639
91,7,15,8,12,6.378868103027344,-1.0,4.831122827529907
92,11,15,8,12,6.479025363922119,-1.0,10.0
93,11,9,8,2,5.567833423614502,-1.0,4.667936372756958
94,0,13,7,14,0.8023590445518494,-1.0,2.1812464475631717
95,1,13,7,14,5.308560848236084,-1.0,3.4978216171264647
96,12,0,10,15,3.97078275680542,-1.0,3.092871999740601
97,8,0,10,15,5.017748832702637,-1.0,5.0862648487091064
98,10,12,0,8,5.482374668121338,-1.0,4.0106702804565435
99,9,11,2,12,7.039368629455566,-1.0,5.409239292144775
100,15,2,8,6,3.2060670852661133,-1.0,2.5308234691619877
101,11,2,8,6,3.077316999435425,-1.0,3.732076740264893
102,7,2,8,6,3.928454399108887,-1.0,4.868323135375976
103,3,2,8,6,6.520359039306641,-1.0,10.0
104,8,7,9,13,2.728600263595581,-1.0,2.831824827194214
105,4,7,9,13,4.42279863357544,-1.0,3.6670831680297855
106,5,7,9,13,4.008955478668213,-1.0,6.173338413238525
107,6,7,9,13,7.970376014709473,-1.0,10.0
108,8,3,5,14,1.3137304782867432,-1.0,2.456303548812866
109,4,3,5,14,2.258991479873657,-1.0,2.290917682647706
110,0,3,5,14,5.163308143615723,-1.0,4.211844110488892
111,1,3,5,14,5.457858085632324,-1.0,4.511187648773194
112,2,3,5,14,6.123541831970215,-1.0,10.0
113,12,4,10,14,5.31018590927124,-1.0,5.650860834121704
114,15,9,2,11,3.2806506156921387,-1.0,5.448391389846802
115,14,9,2,11,6.058864593505859,-1.0,6.296332931518555
116,13,9,2,11,8.107036590576172,-1.0,10.0
117,0,7,6,3,0.1340185850858688,-1.0,-0.18647184371948233
118,4,7,6,3,3.1193106174468994,-1.0,0.2917061567306518
119,8,7,6,3,4.206479549407959,-1.0,0.29541651010513337
120,3,1,12,15,6.7298784255981445,-1.0,4.897302150726318
121,2,1,12,15,6.552557945251465,-1.0,10.0
122,4,7,15,12,3.641826629638672,-1.0,2.4264754533767703
123,5,7,15,12,4.9919843673706055,-1.0,5.011103773117066
124,6,7,15,12,6.679004192352295,-1.0,10.0
125,11,6,14,4,6.120085716247559,-1.0,6.2020281791687015
126,11,6,15,12,6.530761241912842,-1.0,5.879838657379151
127,5,11,13,9,2.0221974849700928,-1.0,4.216411161422729
128,6,11,13,9,6.564173698425293,-1.0,6.358555030822754
129,7,11,13,9,8.176172256469727,-1.0,10.0
130,4,14,7,11,3.827478408813477,-1.0,3.3244745254516603
131,8,14,7,11,5.803968906402588,-1.0,4.184548234939576
132,12,14,7,11,6.537380218505859,-1.0,5.855347728729249
133,13,14,7,11,7.617053031921387,-1.0,10.0
134,13,12,7,11,8.292433738708496,-1.0,10.0
135,10,4,5,12,5.8202104568481445,-1.0,4.386466646194458
136,9,4,5,12,5.929544448852539,-1.0,7.136982727050782
137,8,4,5,12,9.041091918945312,-1.0,10.0
138,13,3,6,1,0.8814476728439331,-1.0,2.4864741086959836
139,14,3,6,1,3.543998956680298,-1.0,2.3036970138549804
140,7,15,5,9,6.89261531829834,-1.0,6.3496440887451175
141,11,15,5,9,8.166271209716797,-1.0,10.0
142,3,4,9,0,2.975925922393799,-1.0,2.651752042770386
143,2,4,9,0,5.49571704864502,-1.0,2.7641696453094484
144,7,4,9,0,3.6445677280426025,-1.0,4.048426342010498
145,6,4,9,0,6.687384605407715,-1.0,4.545298051834107
146,15,12,3,4,4.05537223815918,-1.0,4.345274353027344
147,14,12,3,4,4.967119216918945,-1.0,6.317818069458008
148,15,8,10,12,2.6024746894836426,-1.0,2.8628483295440676
149,14,8,10,12,5.037496566772461,-1.0,4.216729164123535
150,13,8,10,12,5.796365737915039,-1.0,6.973450374603272
151,1,9,2,10,6.695148944854736,-1.0,6.740098190307617
152,5,9,2,10,8.600109100341797,-1.0,10.0
153,11,12,10,9,2.5746560096740723,-1.0,2.2801978588104244
154,15,12,10,9,5.458113670349121,-1.0,4.345337438583374
155,14,12,10,9,6.332372665405273,-1.0,6.06304726600647
156,13,12,10,9,7.847830295562744,-1.0,10.0
157,0,12,10,1,4.812246799468994,-1.0,4.516867065429688
158,4,12,10,1,5.239749431610107,-1.0,6.810477638244629
159,8,12,10,1,8.678308486938477,-1.0,10.0
160,12,1,3,9,2.9836626052856445,-1.0,2.0592636585235597
161,8,1,3,9,3.399181842803955,-1.0,3.635082483291626
162,3,0,10,6,5.011049747467041,-1.0,3.6987319469451903
163,2,0,10,6,5.220813274383545,-1.0,5.034257030487061
164,13,8,0,3,8.409873008728027,-1.0,7.500969219207763
165,9,8,0,3,7.901125907897949,-1.0,10.0
166,8,2,7,4,3.1299636363983154,-1.0,3.0051693439483644
167,9,2,7,4,4.450188159942627,-1.0,4.365053606033325
168,8,11,13,4,3.375719785690308,-1.0,4.559785842895508
169,9,11,13,4,5.520992279052734,-1.0,5.335534334182739
170,10,11,13,4,7.039482593536377,-1.0,10.0
