,Player,Goal,Wall,Pit,Q_Current,Reward_Current,Bellman_Operator
8036,11,1,2,5,-1.7743170261383057,-1.0,0.6340663194656373
8037,6,1,2,5,1.5692309141159058,-1.0,-0.8197333991527558
8038,10,1,2,5,-1.901627779006958,-1.0,0.46756132841110243
8039,9,1,2,5,-6.546692371368408,-1.0,-1.8670191824436189
8040,0,1,2,5,-7.393643379211426,-1.0,-6.970513153076172
8041,4,1,2,5,-7.571001052856445,-1.0,-7.389115858078003
8042,8,1,2,5,-7.09901762008667,-1.0,-105.47563099861145
8043,9,11,6,10,4.016946792602539,-1.0,2.72040114402771
8044,13,11,6,10,4.464872360229492,-1.0,3.6687568664550785
8045,14,11,6,10,1.1898152828216553,-1.0,6.581508827209473
8046,15,11,6,10,8.423898696899414,-1.0,10.0
8047,0,12,2,1,5.932899951934815,-1.0,4.079872989654541
8048,4,12,2,1,7.162740707397461,-1.0,6.541086006164551
8049,8,12,2,1,8.378984451293945,-1.0,10.0
8050,7,9,13,10,3.958640575408936,-1.0,2.7266998291015625
8051,6,9,13,10,5.927229881286621,-1.0,5.667778062820434
8052,5,9,13,10,7.408642292022705,-1.0,10.0
8053,4,7,10,0,5.477511405944824,-1.0,5.32770528793335
8054,5,7,10,0,7.010011196136475,-1.0,6.367337226867676
8055,6,7,10,0,8.185930252075195,-1.0,10.0
8056,4,15,9,3,1.935685634613037,-1.0,2.1544196367263795
8057,8,15,9,3,4.89789342880249,-1.0,3.1301684379577637
8058,12,15,9,3,7.158632755279541,-1.0,5.162075233459473
8059,13,15,9,3,7.779043197631836,-1.0,6.420416641235351
8060,14,15,9,3,8.24490737915039,-1.0,10.0
8061,4,14,7,3,3.28062105178833,-1.0,3.1322678565979007
8062,8,14,7,3,5.565796375274658,-1.0,4.7817521572113035
8063,9,14,7,3,6.725630283355713,-1.0,6.979451656341553
8064,10,14,7,3,8.866057395935059,-1.0,10.0
8065,2,8,9,13,3.23885178565979,-1.0,2.843489646911621
8066,1,8,9,13,3.7733638286590576,-1.0,3.8102616310119632
8067,0,8,9,13,8.480456352233887,-1.0,6.302004623413086
8068,4,8,9,13,8.113338470458984,-1.0,10.0
8069,10,9,2,3,8.067048072814941,-1.0,10.0
8070,5,6,2,14,7.524468898773193,-1.0,10.0
8071,5,2,8,7,8.199786186218262,-1.0,6.118520069122314
8072,6,2,8,7,7.909466743469238,-1.0,10.0
8073,10,7,15,8,7.6566290855407715,-1.0,6.623997592926026
8074,6,7,15,8,8.471108436584473,-1.0,10.0
8075,7,9,11,15,4.808718681335449,-1.0,4.522077846527099
8076,6,9,11,15,7.237250804901123,-1.0,6.128490161895752
8077,10,9,11,15,7.920544624328613,-1.0,10.0
8078,12,9,0,5,3.68204927444458,-1.0,6.018888235092163
8079,8,9,0,5,7.798764705657959,-1.0,10.0
8080,1,14,13,0,3.8538625240325928,-1.0,3.323326969146729
8081,5,14,13,0,6.404610633850098,-1.0,4.579022645950317
8082,6,14,13,0,6.083065509796143,-1.0,5.914015579223633
8083,10,14,13,0,7.682239532470703,-1.0,10.0
8084,9,15,11,8,3.477022647857666,-1.0,4.916475009918213
8085,13,15,11,8,6.960606575012207,-1.0,5.929601573944092
8086,14,15,11,8,7.699557304382324,-1.0,10.0
8087,0,6,7,2,3.2049694061279297,-1.0,3.636225318908692
